rooms_num_square,type_offer,price,views,likes,address,apartment_complex,floors,furniture,series,building_type_year,added_ago,condition,ceil_height,gas,docs,heating,parking,is_change,is_ipoteka,is_installment,door,balcony,floor,different,telephone,internet,security,sanuzel,user_name,description,analytic,longitude,latitude,link
"2-комн. кв., 88 м2",от агента,21 095 000 сом,2637,6,"Бишкек, Золотой квадрат, Орозбекова 19",,7 этаж из 13,,элитка,"кирпичный, 2018 г.",Добавлено 1 год назад,евроремонт,,,,,,,,,,,,,,,,,Абылай Асанов,"Продается 2х комнатная квартира (студия) в самом центре золотого квадрата
Московская / Орозбекова
ЖК Резидент
СК МФ Лайм

🏢Квартира отделана дизайнерским евроремонтом. Имеются теплые полы на каждый метр, вся мебель премиум сегмента и  итальянской сборки.

🛋️Смесители, инсталляция итальянской компании «Гроэ».
Сантехника сделана из материала фаянс. 
Столешницы, раковины из искусственного камня Samsung.
Материал мебели и кухонного гарнитура ЛДСП Италия.
Телевизор компании Samsung имеет диагональ 75 см.

• комнаты: 2
• площадь: 88м
• этаж: 9/13
• коммуникации: центральные
• серия: элитка
• район: Орозбекова/Московская

Цена: 250,000$","Эта квартира на 99.08% дороже похожих
Цена за м2 этой квартиры на 57.83% дороже похожих",74.6025,42.869,https://www.house.kg/details/332889164afde3feabc68-50440058
"3-комн. кв., 103 м2",от агента,12 657 000 сом,1129,,"Бишкек, 12 м-н, АУЦА",ЖК “Platinum Residence”,8 этаж из 9,пустая,элитка,монолитный,Добавлено 4 месяца назад,под самоотделку (псо),,,договор долевого участия,на газе,паркинг,рассмотрю варианты,,,бронированная,лоджия,,,,,,раздельный,Estate House,"Продаю 3-комнатную квартиру в Мкр Асанбай 
Этаж: 8 из 9 ;
Дом Премиум Класса;

Застройщик: СК «Платинум»
Жилой Комплекс: «Платинум Residents»
Дом монолитный, кирпичный;.

Состояние дома: будет сдан под ПСО 2 квартал 2024г
Отопление газовое;
Утепление дома из базальтового волокна;
Присутствует Шумоизоляция;

Фасад дома снаружи из Иранского Гранита, закрытая облагороженная территория;
Рядом: Школа МААРИФ, кампус АУЦА.
Общая Площадь квартиры: 103,45м²
Цена: 150000$","Эта квартира на 7.22% дороже похожих
Цена за м2 этой квартиры на 2.02% дороже похожих",74.6338,42.8121,https://www.house.kg/details/8798602663dbebfcafb59-64659315
"1-комн. кв., 43 м2",от агента,4 472 140 сом,261,1,"Бишкек, Тунгуч м-н",,3 этаж из 9,,106 серия,панельный,Добавлено 25 дней назад,хорошее,,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",центральное,,,,,,,,"кондиционер,                                             неугловая,                                             тихий двор",,,"решетки на окнах,                                             домофон,                                             видеонаблюдение",,БорБор Недвижимост...,"ПРОДАЁТСЯ 1-комнатная квартира  🏢‼️‼️

📍Адрес: Тунгуч
🏢Этажность: 3 из 9
🔰Площадь: 43 м2
🔰Серия: 106-серия
🔰Состояние: Хорошее
🔰Коммуникации: Центральное
🔰Документы: Тех.Паспорт
🔰Доп. инфо: Рядом, 73-школа,детские садики,Globus,мечеть,Аю Гранд.
🔰Цена: 53000$
Тел: 0701/69/80/25    Умар

⚜️Борбор Недвижимость⚜️
ID: 19170","Эта квартира совпадает со средней ценой
Цена за м2 этой квартиры на 8.69% дешевле похожих",74.6891,42.8538,https://www.house.kg/details/527350366cc3cddeaffb1-55277092
"2-комн. кв., 43 м2",от агента,5 695 650 сом,519,1,"Бишкек, 12 м-н, 12 мкрн 57/1",,4 этаж из 13,,элитка,монолитный,Добавлено 1 месяц назад,евроремонт,3 м.,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",центральное,,,,,,,,,,,,,"ООО ""ЭТАЖИ"" Урманб...","■ Адрес: ул. 12 мкр, Аалы токомбаева/Саякбая каралаева 

■ Характеристики:
- Строительная компания: Avangard Building 
- ЖК ""12 Avenue""
- Тип недвижимости: Элитка студия
- Количество комнат: 2
- Общая площадь: 43 м2
- Этаж: 4/12
- Состояние: Евроремонт 
- Окна: На восток 
- Санузел: Совмещенный 
- Балкон Лоджия: Нет
- Комуникации: Центральные, отопление газовое
- Мебель техника: Встроенная Остаётся 

■ Документы: Техпаспорт, Дду, Красная книга 

■ Цена: 68000 

■ Дополнительная информация: 
Продается уютная 1-комнатная квартира в элитном доме 12 микрорайона!
43 кв.м. комфорта на 4 этаже. Все коммуникации центральные. Идеальное состояние, есть все для жизни: лифт, видеонаблюдение, детская площадка. Техпаспорт готов.
Звоните прямо сейчас! 

■ Контактная информация:
Телефон для связи: +996553058118


#купляпродажаКыргызстан
#недвижимость
#квартирыБишкек
#ПродажаКвартирБишкек
#НедвижимостьБишкек
#КвартираБишкек
#ПродажаКвартирКыргызстан
#РынокНедвижимостиБишкек
#ЖильеВБишкеке
#КупитьКвартируБишкек
#АгентствоНедвижимостиБишкек
#НовостройкаБишкек
#ИпотекаВБишкеке
#ПСОБишкек
#УчастокБишкек
#КоммерческоеПомещениеБишкек
#ПродажаКоммерческойНедвижимостиБишкек","Эта квартира на 21.51% дешевле похожих
Цена за м2 этой квартиры на 13.19% дороже похожих",74.6374,42.8121,https://www.house.kg/details/399191766b9e612487624-59870018
"3-комн. кв., 103 м2",от собственника,15 441 540 сом,300,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Park Avenue,10 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 18 дней назад,евроремонт,3 м.,,"зеленая книга,                                             договор купли-продажи,                                             технический паспорт",центральное,,обмен не предлагать,,,бронированная,балкон,,,,,,2 с/у и более,A,"Срочно Продаётся 3-х комнатная квартира в доме Премиум Класса 😍
ЖК Парк Авеню
От СК Эмарк Групп
 
📌Район Асанбай
Адрес: Юж.Магистраль/Сухэ Батора
 
-Площадь 103м 
-Этаж 10 из 12
-сквозная планировка,2 санузла,2 балкона
-с ремонтом ,мебелью и техникой
- Коммуникации все центральные (отопление газовое)
🏞️Отличный район, развитая инфраструктура
°Видеонаблюдение 24/7
°закрытый двор, детская площадка,полностью заселенный дом 
 
Документы: Тех паспорт,ДКП на руках 
 
 
🔥Цена:183 000$
 
Телефон: 0504-88-70-88 Алина","Эта квартира на 36.29% дороже похожих
Цена за м2 этой квартиры на 42.16% дороже похожих",74.6155,42.8195,https://www.house.kg/details/934652066d546c9041639-48154584
"3-комн. кв., 103 м2",от агента,12 657 000 сом,288,,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Park Avenue,2 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 27 дней назад,евроремонт,3 м.,,,центральное,,,,,,,,,,,,,БорБор Недвижимост...,"🚨   СРОЧНО продаётся 3х комнатная квартира    
🔑   Адрес: Асанбай
🔑   СК: Эмарк Групп
🔑   ЖК: «Park Avenue»
🔑   Серия: Элитка
🔑   Этаж: 2/11
🔑   Площадь: 103м2
🔑   Состояние: Свежий ремонт
🔑   Коммуникации: Все коммуникаций центральные. Газовое отопление.
🔑   Документы: Тех паспорт, ДКП.
🔑   Доп инфо: Рядом: Авангард спорт клуб, Мока кофейня, школа Газпром, Глобус, садик. Видеонаблюдение, закрытая территория, охрана.
💰   Цена: 150000$
☎️   Тел: 0701 698 016 Залкар 
🔱 Борбор Недвижимость 🔱
  I’d: 19138","Эта квартира на 11.71% дороже похожих
Цена за м2 этой квартиры на 16.48% дороже похожих",74.6155,42.8195,https://www.house.kg/details/144291566c9bf46eebdb9-78556039
"1-комн. кв., 47 м2",от агента,4 560 739 сом,1748,6,"Бишкек, 6 м-н, 6-микр. по ул. Каралаева","Жилой дом ""Me'Raj""",7 этаж из 12,,элитка,монолитный,Добавлено 9 месяцев назад,не достроено,,,,на газе,,обмен не предлагать,,,,,,,,,,,Estate House,"Продаю 1-ком Элитку в 6 микрорайоне по Набережной; ПСО 1 квартал 2024 ;.
 46, 84м2;  Этаж: 7 из 14  ЖК «Meeraj»; ..

Продаю 1-комнатную Элитную квартиру в 6 микрорайоне по Набережной, 2ая Линия ; 
Этаж: 7  из 14 ;
Дом Комфорт + Класса;
Застройщик: Строительная Компания «TOP Констракшн»
Жилой Комплекс: «Meeraj»
Дом Кирпичный;
Состояние Квартиры ПСО 1 квартал 2024г;
Коммуникации в Доме все Центральные, отопление Газовое;
Утепление дома из базальтового волокна;
Фасад дома снаружи из дорогих материалов премиум сигмента;
Общая Площадь квартиры: 46,84м2 
окна смотрят на запад .
Цена: 1150$ за м2 кв.","Эта квартира на 4.95% дороже похожих
Цена за м2 этой квартиры на 4.75% дороже похожих",74.6324,42.8249,https://www.house.kg/details/614467265943b199dbab0-70594345
"1-комн. кв., 42 м2",от собственника,3 164 250 сом,34,,"Бишкек, Кызыл-Аскер ж/м, Джамгерчина 291а",,7 этаж из 9,пустая,элитка,"кирпичный, 2024 г.",Добавлено 10 часов назад,под самоотделку (псо),3 м.,магистральный,договор долевого участия,на газе,паркинг,,,,бронированная,балкон,,,возможно подключение,проводной,,совмещенный,"КутСтрой, Тилек Ка...",ЖК Үмүт сдача 2025 2 квартал,"Эта квартира на 18.12% дешевле похожих
Цена за м2 этой квартиры на 18.11% дешевле похожих",74.5285,42.8703,https://www.house.kg/details/865950766ecf49c8dd151-73858204
"4-комн. кв., 172 м2",от агента,19 593 036 сом,2105,5,"Бишкек, Магистраль, Токомбаева",ЖК Асанбай Сити,9 этаж из 12,,элитка,"монолитный, 2021 г.",Добавлено 9 месяцев назад,под самоотделку (псо),3 м.,,,,,,,,,,,,,,,,Абылай Асанов,"Описание: ЖК «Асанбай сити»
Район Асанбай
Шикарный дом Премиум класса на первой линии по Магистрали.

Фасад сары таш, во дворе есть бассейн и тренажерный зал, а так же барбекю зона.

Все коммуникации подключены, включая отопление. 

Параметры: ПСО
• комнаты: 4
• площадь: 172м2
• этаж: 8 из 13
• серия: Элитка
• район: Асанбай
• коммуникации: вода, свет. Отопление газовое
• материал: Керамогранит, гранит, сары таш.
• цена: 1350$ за м2

(Торг реальным клиентам)

Точный адрес: Токомбаева 15А","Эта квартира на 18.78% дороже похожих
Цена за м2 этой квартиры на 6.72% дороже похожих",74.623,42.8167,https://www.house.kg/details/89414656584461f7bac50-23337932
"3-комн. кв., 108 м2",от агента,8 353 620 сом,1401,2,"Бишкек, Джал-29 м-н, Садырбаева 258а",ЖД Kausar,11 этаж из 12,,элитка,монолитный,Добавлено 6 месяцев назад,под самоотделку (псо),3 м.,,"договор долевого участия,                                             красная книга",центральное,,обмен не предлагать,,,,,,,,,,,Estate House,"Срочная продажа
Продаю 3х комнатную квартиру (студия) 108.7м², 11-этаж из 12, с парковкой,
в Микрорайоне Джал-29
Сдача в ПСО 4-й квартал 2023 года.
Жилой комплекс строятся из высококачественных материалов с использованием современных технологических решений

Качественные и экологически чистые материалы.Современная технология строительства.Современный дизайн.

О жилом комплексе

Новый ЖК класса комфорт+ ""KAUSAR"" в благоустроенном спальном районе города с развитой инфраструктурой!
Дом расположен в верхнем Джале по адресу: ул. Садырбаева 258а/ ул. Юж. Магистраль
Цена: 99000$.","Эта квартира на 0.46% дороже похожих
Цена за м2 этой квартиры на 19.3% дешевле похожих",74.5657,42.8306,https://www.house.kg/details/2763947660a5fcf77c008-48465716
